gene,log2FC,t,pval,FDR,cohen_d
ZNF793,0.19848711939817631,1.6329263373725884,0.10730691953354374,,0.3089966520671306
RNU6-583P,-0.0396240625180289,-0.9999999999999998,0.32347494517138353,,-0.3111187422751507
MFSD8,-0.0300263826487166,-0.408049842175279,0.6844965013584858,,-0.07465268411199559
CMTR2,0.1499027782731801,1.9700595322939232,0.05295336390955517,,0.3662885268111739
SPDYE2,0.3837284421870626,2.0688811668821514,0.04186182517770049,,0.3558589678768382
HNRNPUL1,0.193989145264287,2.930158010574449,0.004535553607576556,,0.5249152408389662
TTC23L,-0.19617399911287303,-0.770864021355556,0.4446180325103706,,-0.1856461404572392
SPDYE12,0.06550941014830469,0.5271366179724927,0.6000824472294213,,0.10638158992549587
KIAA0087,-0.12475747515832425,-1.2712398938265217,0.20863334788281518,,-0.2559635308296542
ETFA,-0.19984054912567295,-3.1120513899443925,0.00274173800238704,,-0.583453625036137
SNX10,0.20476428114260203,0.7756702950271458,0.4412324834469299,,0.16285344727440892
IFT46,-0.4953437558941509,-3.098191971818349,0.00320919915934155,,-0.7164396062083274
CCDC51,0.11237177029816614,1.197330613766548,0.23663212675990408,,0.26572603985922905
ZNF750,0.04045428638049042,0.38203011901400963,0.7038977373649078,,0.08027102718918183
SKIC3,-0.0867805815857512,-1.3171253962613731,0.19315284805878466,,-0.2746750044327517
TMA7,0.10849817771232662,1.401802462720599,0.1659011986550252,,0.271312397160739
TREX1,0.17960812974228357,1.9799193456322486,0.05083888945668798,,0.32286811758059636
ZNF23,-0.2272271651056137,-1.5882188146260923,0.11874763082790465,,-0.3741983443993558
PTGES3L,-0.09420530418421602,-0.8901130298004388,0.3763546667157772,,-0.15907376599662298
PFKFB4,0.7480723370256444,4.831049661725817,6.614880679865031e-06,,0.830151012968938
STARD3NL,0.027769042037967928,0.33510808743243753,0.738385997974385,,0.05597613650414399
PDK2,-0.23366696709850476,-2.3617639972841973,0.020431979155953232,,-0.3878266904107051
RN7SKP127,0.0,,,,
C16orf54,-0.03821196273711719,-0.28905237721055205,0.7737416687855915,,-0.06636047369857051
SMARCA2-AS1,-0.016150442477876108,-0.6089891957087118,0.5453381410033722,,-0.1415352206440265
ZG16,0.017699115044247787,1.0,0.31946613116109157,,0.1092295741709988
TRPM3,0.16355769139178822,0.4524006228883938,0.6529271472908849,,0.10297899315982559
RNU6-1309P,0.018649941913131775,0.3768347455795289,0.7072292925739614,,0.06219467648606
RPS27AP6,-0.025,-1.0000000000000002,0.3234749451713832,,-0.311118742275151
CYCSP51,0.057167809740895165,0.8812850815146942,0.380778920171296,,0.1493065273834239
PARP1,0.2126490708246047,2.5143947876102724,0.014339648270507297,,0.4692129251802833
MVP-DT,0.08910577006115084,0.8547774152033262,0.39672535892485905,,0.19434111840305837
PRRT2,-0.3904218023873298,-1.2637368075581377,0.2111865016793176,,-0.25073882099917155
TRGC2,-0.18013196694122635,-1.3170466252407853,0.1928983567235308,,-0.264551798464526
TRGJ2,-0.30407762172044284,-1.0870652253196662,0.281663337311605,,-0.22688880030566955
TRGJP2,-0.7900489399269002,-2.7083920265544075,0.009009974830986785,,-0.5759795938704908
TRGJ1,-0.19758643487330962,-0.7991677368593517,0.427366886839607,,-0.1598232229643765
TRGJP,-0.026124416153665037,-0.22044057521516008,0.8263348529898304,,-0.046234793436601536
RPL5P30,-0.2931883402735971,-1.9965442054018279,0.051228742994169844,,-0.44890779490839167
TRGJP1,-0.31943236339266723,-1.3855320756262353,0.17145291317683573,,-0.2919354254346535
RNU6-1157P,-0.04156739760804814,-0.5560853973974816,0.5805413500567722,,-0.1231098989354724
TRGV11,0.02654867256637168,1.7477257950106058,0.08325211488304089,,0.19090334435667913
TRGVB,0.0,,,,
MIR6716,0.014026216820541204,1.0000000000000002,0.3194661311610914,,0.10922957417099913
SLC22A24,-0.013298288149836163,-0.13939939530523707,0.8895280228555397,,-0.02512094006715003
TRGV10,-0.09578006666784086,-1.0187724831244602,0.312703952930134,,-0.21309976847156942
TRGV9,0.008849557522123894,1.0,0.31946613116109157,,0.10922957417099886
TRGVA,0.0,,,,
TRGV8,-0.04375393796403293,-0.3482478108486374,0.7288967874126846,,-0.07022963514951368
TRGV7,0.11123827434904698,1.4169517840309687,0.16033624302429206,,0.23985466793108023
PAGR1,0.018141592920354,0.2698975475309462,0.7880232635478981,,0.048756844195035245
TRGV6,0.0457515486853302,1.497594687390437,0.13705163164629613,,0.16358162998440734
TRGV5P,-0.006327765480343764,-0.1086893092708748,0.9137274995158483,,-0.01869971106515429
CD3E,-0.14358138332570236,-0.7289705466437597,0.46882140997797117,,-0.1440011108339084
TRGV5,0.12371614488182853,1.6196092969589928,0.10950815052135554,,0.28408612466852723
TRGV4,-0.031062948032143545,-0.3144752822712066,0.754151480722151,,-0.05905751115607266
ZNF701,0.20376232057436194,2.3974836441091023,0.019572429993574097,,0.4711019697584793
TRGV3,0.04672200219771089,0.3984155841082396,0.6916798757009286,,0.07723910641197357
MVP,0.1861641262543685,1.1460315423841256,0.25576787037642473,,0.21080427106474656
TRGV2,0.11551257468826298,1.0710964396203246,0.28831948648829614,,0.21016586220353067
TRGV1,0.2992091032193719,1.610808263861626,0.11302002524685331,,0.34409561970388014
TRGC1,0.0,,,,
ITPRID1,-0.4146380027831009,-1.245188136438254,0.2197682833221069,,-0.3320424384899378
SAMD14,0.059415524745827675,0.273220816959262,0.7858318986486754,,0.06364707188632616
ZNF667,0.24277195658584372,1.9562732158255323,0.05479987690707645,,0.3741646267113133
KMT2A,-0.3650474837046671,-4.076036718219709,0.00013828701092444742,,-0.8181067125465473
LGALS13,-0.02695246432680308,-0.36314637901857294,0.7178172441644661,,-0.07401829140520107
KIF22,0.21716947596138603,1.9062786335717263,0.060850646261849016,,0.3525954090802492
NDUFS2,0.09176816548546984,1.137211627537649,0.2606423268052401,,0.25060288884804066
XRCC2,0.5058418449835433,4.0348414376082316,0.0001382105119037659,,0.7359259579808523
PPP1R9B,-0.032674496853092094,-0.301178568334658,0.764438140778814,,-0.06474550667473836
KICS2,0.08948027691414895,1.0896797348789862,0.27894830623085376,,0.18075519661819978
AURKC,0.3964254347372682,3.042366904860887,0.0034068403765752766,,0.5834309230991659
RNU6-1009P,0.0,,,,
ATP5PBP3,-0.016150442477876108,-0.6089891957087118,0.5453381410033722,,-0.14153522064402652
RNU5A-7P,-0.0396240625180289,-0.9999999999999998,0.32347494517138353,,-0.31111874227515074
RN7SL845P,-0.025,-1.0000000000000002,0.3234749451713832,,-0.311118742275151
C12orf56,-0.21121213257555782,-1.6446636588081776,0.10445948478515174,,-0.2968366682714236
RNU6-1091P,0.03417991980838371,0.66630523623656,0.506839215450531,,0.10539111359843327
FIGNL1,0.2951390541189567,2.6237895617549496,0.010720121867791574,,0.4838541590924905
COL1A1,1.7296164383463468,4.006953686789352,0.00015165028275304667,,0.7292720687875998
MIR6823,0.3596954824253117,2.2683047079832535,0.025107626768339063,,0.32642836637501144
UCN2,0.14391443308271992,1.5361859274017482,0.1278589727234432,,0.2437416578385674
MIR711,0.7402687247790845,2.5657256270782356,0.012175158083114625,,0.43787369059373726
