gene,log2FC,t,pval,FDR,cohen_d
OPRL1,0.02727171828270364,0.18315298625990906,0.8574535784104859,,0.0575785249112325
ODAD2P1,0.6235585615296555,1.7582235342647188,0.1020177734884857,,0.5656202264172985
FAM210CP,0.18287643804671544,1.3754462834193335,0.19447936729823487,,0.6334106051670582
TRIAP1P1,0.0,,,,
FCAR,-0.24044181417205587,-5.06758608027282,1.6035282205065306e-06,,-0.49958047568707986
NPBWR2,-0.06042871472954561,-0.4900920715006673,0.6307695599721836,,-0.11446779000272837
KIR3DS1,0.0,,,,
MYT1,1.8698552189962925,3.0073581414683095,0.010377408723920829,,1.0693069184463277
PPIAL4F,-0.05458668879694238,-0.6072955584906822,0.55282833277432,,-0.1548772600724584
KIR2DS4,0.0,,,,
KIR2DL1,0.0,,,,
GEMIN2P1,0.0,,,,
GATAD2B,-0.0014893436641990193,-0.016960748213092743,0.9867152151148777,,-0.005069581673333793
RNVU1-26,0.0036873156342182856,0.0422993852094919,0.96689510803127,,0.013482562374411592
NCR1,-0.008849557522123894,-0.9999999999999998,0.3194661311610916,,-0.09858352039284635
RNVU1-2A,-0.12194312315740752,-0.5969213233036514,0.5585774310901871,,-0.13208684374856822
KIR2DS5,0.0,,,,
KIR2DL2,0.0,,,,
LINC00254,0.0,,,,
HS3ST6,0.0,,,,
KIR2DL5A,0.0,,,,
MEIOB,0.0,,,,
SLC27A3,-0.13683447233311075,-0.6516928452316739,0.5241645610916149,,-0.15722966975029215
LINC02124,0.0,,,,
LINC01839,0.0,,,,
KIR2DS3,0.0,,,,
LINC02054,-0.1320347250859389,-0.8542078246070167,0.4061368154496884,,-0.20841651518187465
ADI1,0.0,,,,
TRAPPC12,0.12468927993948897,0.3474902846564123,0.7337888645533832,,0.11437770591223814
OR9G4,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284642
OR5G3,0.0,,,,
OR9G3P,0.0,,,,
OR5G1P,0.0,,,,
OR5G4P,0.0,,,,
OR9G2P,0.0,,,,
OR9G1,-0.008849557522123894,-0.9999999999999998,0.3194661311610916,,-0.09858352039284633
OR9G9,-0.035398230088495575,-2.02733611991679,0.04500245690831067,,-0.19986193172097105
KIR2DP1,0.0,,,,
LINC02735,-0.017699115044247787,-1.420569610409155,0.15821988995586989,,-0.14004475315722897
OR5G5P,0.0,,,,
KIR2DL5B,0.0,,,,
RNA5-8SN5,-0.3118272240390354,-0.35474237779025686,0.7283556758650067,,-0.11083243708079374
IMPDH1P5,-0.13256969451640066,-0.8265542695859864,0.42103702945471044,,-0.19901127082333492
DLG5,0.6114337769867237,2.953757939855757,0.011254120017104059,,0.9858564213862363
KIR2DS1,0.0,,,,
ZNF43,0.5821447935026338,2.226563967668009,0.04251119852493121,,0.6007854059143656
DHX36,0.5533598735757774,1.799517895861748,0.0940233167757301,,0.5271767334866483
ZNF100,0.022293007216494853,0.05717423504521456,0.95536009682858,,0.026231336886204427
CCNYL6,0.0,,,,
BRI3BPP1,0.34552122989418055,1.6285903615267623,0.1279198455666984,,0.5687985436402717
VN1R84P,-0.02654867256637168,-1.7477257950106058,0.08325211488304089,,-0.17229696155353208
PIWIL1,0.047935103244837754,0.5629959407044435,0.5838166839548136,,0.24328547523877933
MTDHP4,0.0,,,,
KRT18P40,0.0,,,,
ZNF430,0.19296207982626168,1.5046124362501192,0.15113359236125723,,0.3330680242113411
ARHGEF26,-0.07455736222958187,-0.37014635675815566,0.7163186209746798,,-0.08990632950889049
ZNF85,0.6703537847705996,3.127381994974078,0.007770412171337805,,0.9587596351148904
KRTAP9-9,0.0,,,,
KRTAP9-2,0.0,,,,
KRTAP9-4,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284642
KRTAP9-3,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284642
KRTAP9-10P,0.0,,,,
KRTAP29-1,-0.030614439102984933,-0.9999999999999998,0.31946613116109146,,-0.09858352039284626
BNIP3P24,0.0,,,,
ZNF66,0.2613997335608451,0.9359865918691048,0.3671849553392055,,0.35582192964045173
ARHGEF26-AS1,-0.02654867256637168,-1.3464581836387532,0.18087342026465658,,-0.13273858780486625
TPO,-0.033183619072108206,-0.1879274863275902,0.8537989867189134,,-0.05983172504204444
