gene,log2FC,t,pval,FDR,cohen_d
ODAD2P1,0.3724831155795765,1.0222607963978398,0.3188291646142843,,0.3228927018484343
FAM210CP,0.043987549157826544,0.5480457128832787,0.5894765516871014,,0.1597491101915144
TRIAP1P1,0.0,,,,
FCAR,-0.034861829830884095,-0.16523428526273248,0.8705186411790404,,-0.06152042272810233
NPBWR2,0.563394545853559,2.1930151756576786,0.04137863735213051,,0.8872057879081331
KIR3DS1,0.0,,,,
MYT1,1.1797681167380012,2.473106320569978,0.021758486271735197,,0.6783400667424372
PPIAL4F,-0.08236446657472016,-1.267705792441339,0.21429451935156243,,-0.23910501213464805
KIR2DS4,0.0,,,,
KIR2DL1,0.0,,,,
GEMIN2P1,0.0,,,,
GATAD2B,-0.029267121441976796,-0.47151202883737153,0.641171456607838,,-0.10189011519331564
RNVU1-26,-0.07964601769911504,-3.1132471299766253,0.002349127751829997,,-0.31431146181873965
NCR1,-0.008849557522123894,-0.9999999999999998,0.3194661311610916,,-0.10095936772648668
RNVU1-2A,0.03582632144729381,0.14619119187517737,0.8850730725428739,,0.037728159233712956
KIR2DS5,0.0,,,,
KIR2DL2,0.0,,,,
LINC00254,0.0,,,,
HS3ST6,0.0,,,,
KIR2DL5A,0.0,,,,
MEIOB,0.0,,,,
SLC27A3,-0.9169087560386928,-3.9893823114194813,0.0005981701368222777,,-1.0296792242001311
LINC02124,0.0,,,,
LINC01839,0.0,,,,
KIR2DS3,0.0,,,,
LINC02054,0.17824096939856982,0.9252863213478348,0.3653670401841954,,0.26832111872267084
ADI1,0.0,,,,
TRAPPC12,-0.05028651292769437,-0.1813029915038999,0.8577466540169839,,-0.04649033043436294
OR9G4,-0.008849557522123894,-1.0,0.31946613116109157,,-0.10095936772648675
OR5G3,0.0,,,,
OR9G3P,0.0,,,,
OR5G1P,0.0,,,,
OR5G4P,0.0,,,,
OR9G2P,0.0,,,,
OR9G1,-0.008849557522123894,-0.9999999999999998,0.3194661311610916,,-0.10095936772648666
OR9G9,-0.035398230088495575,-2.02733611991679,0.04500245690831067,,-0.20467857283586807
KIR2DP1,0.0,,,,
LINC02735,0.037856440511307765,0.6649005225839721,0.514211581287136,,0.25209214952156006
OR5G5P,0.0,,,,
KIR2DL5B,0.0,,,,
RNA5-8SN5,-0.39965980270955015,-0.5150196164379733,0.6117513846428342,,-0.1404995805251934
IMPDH1P5,-0.287707541758655,-1.7462331524510084,0.09386039382163691,,-0.42621619570503677
DLG5,0.2031349643762672,1.0137808475857397,0.3226861367854812,,0.3158331085175955
KIR2DS1,0.0,,,,
ZNF43,-0.4030909603236663,-1.6417154969640426,0.11428572429616073,,-0.4120847323059962
DHX36,0.5819893063165287,1.791086383524166,0.08796131477439594,,0.5332850054060915
ZNF100,0.03347921942065524,0.19051447127288137,0.8504464035472307,,0.043259372478507606
CCNYL6,0.0,,,,
BRI3BPP1,-0.0146394446797663,-0.0869594043932342,0.9315098735927665,,-0.024107432467391256
VN1R84P,-0.02654867256637168,-1.7477257950106058,0.08325211488304089,,-0.1764492912235425
PIWIL1,0.07571288102261553,0.9682461474695666,0.34519883921625616,,0.3622196553412979
MTDHP4,0.0,,,,
KRT18P40,0.0,,,,
ZNF430,0.20807272635466978,1.5452323222174094,0.1350335981630411,,0.3557967220356913
ARHGEF26,-0.0308030759568938,-0.12790606167700547,0.8994193884700097,,-0.03572968869085198
